User ID,Venue ID,Venue Category Name,UTC Time,Time Offset
1900639,4b3ae90ff964a520b96f25e3,Subway,Tue Apr 03 21:39:07 +0000 2012,540
1067362,4b8fc566f964a520546133e3,Train Station,Tue Apr 03 21:52:53 +0000 2012,540
1941197,4b5e5270f964a520948929e3,Gym,Tue Apr 03 21:58:16 +0000 2012,540
50746,4cb29615c5e6a1cd54cde6f6,Diner,Tue Apr 03 21:59:18 +0000 2012,540
11136,4b62b070f964a520144f2ae3,Grocery Store,Tue Apr 03 22:03:06 +0000 2012,540
11136,4f0d62e1e4b0254b4cacb27c,Playground,Tue Apr 03 22:03:28 +0000 2012,540
11136,4b5a97fff964a520eecc28e3,Train Station,Tue Apr 03 22:04:05 +0000 2012,540
89430,4b56e0f4f964a520eb1d28e3,Subway,Tue Apr 03 22:08:55 +0000 2012,540
11136,4db822f80cb6cc307a6cc92c,Train Station,Tue Apr 03 22:15:31 +0000 2012,540
937735,4c1aeaa2eac020a15c2544c2,Ramen /  Noodle House,Tue Apr 03 22:16:16 +0000 2012,540
11136,4b7610e3f964a5205b3a2ee3,Bus Station,Tue Apr 03 22:19:15 +0000 2012,540
937735,4f61593be4b024e6f6f3fad0,Ramen /  Noodle House,Tue Apr 03 22:19:41 +0000 2012,540
456211,4caf01c139458cfaa0a1f69f,Subway,Tue Apr 03 22:23:31 +0000 2012,540
1930776,4cb2b721cbab236a19bcb273,Bridge,Tue Apr 03 22:37:13 +0000 2012,540
788081,4e0ee51cd22d8582bdc39d0e,Electronics Store,Tue Apr 03 22:41:10 +0000 2012,540
1387000,4b3ae51bf964a520956f25e3,Train Station,Tue Apr 03 22:47:36 +0000 2012,540
27738,4c9e99087c096dcbacf9d6d1,Bakery,Tue Apr 03 22:50:06 +0000 2012,540
788081,4b3ae51bf964a520956f25e3,Train Station,Tue Apr 03 22:56:26 +0000 2012,540
162609,4b6b2c13f964a52064f72be3,Train Station,Tue Apr 03 23:01:34 +0000 2012,540
1012133,4dc0ec091838710f437169a1,Platform,Tue Apr 03 23:02:30 +0000 2012,540
329838,4b8fc566f964a520546133e3,Train Station,Tue Apr 03 23:07:52 +0000 2012,540
1270683,4b56e0f4f964a520eb1d28e3,Subway,Tue Apr 03 23:10:49 +0000 2012,540
1515475,4ba30585f964a5203e2838e3,Mall,Tue Apr 03 23:12:08 +0000 2012,540
1270683,4b3ae90ff964a520b96f25e3,Subway,Tue Apr 03 23:14:07 +0000 2012,540
483282,4f57ed69e4b01f47e7e69c76,Bus Station,Tue Apr 03 23:15:11 +0000 2012,540
1270683,4b5e33def964a5207d8329e3,Subway,Tue Apr 03 23:19:05 +0000 2012,540
497849,4b5a7b8ef964a520b2c728e3,Train Station,Tue Apr 03 23:25:45 +0000 2012,540
1270683,4b8c9fcdf964a520a0d832e3,Building,Tue Apr 03 23:26:11 +0000 2012,540
